product_url,product_title,product_description,product_price,image_url,image_path
https://www.siamtak.com/products/oyj-6121-21,OYJ-6121-21,กระเบื้องผิวด้าน OYJ-6121-21,369,https://siamtak.b-cdn.net/hero-product/OYJ-6121-21.jpg ?width=600&quality=80&format=webp,
https://www.siamtak.com/products/oy-t06-2,OY-T06,กระเบื้องผิวเงา OY-T06,349,https://siamtak.b-cdn.net/hero-product/OY-T06.jpg?width=600&quality=80&format=webp,data\granite_images\oy-t06-2.jpg
https://www.siamtak.com/products/oyj-6123-4,OYJ-6123-4,กระเบื้องผิวเงา OYJ-6123-4,339,https://siamtak.b-cdn.net/hero-product/OYJ-6123-4.jpg?width=600&quality=80&format=webp,data\granite_images\oyj-6123-4.jpg
https://www.siamtak.com/products/pit-04,PIT-04,กระเบื้องผิวด้าน PIT-04,269,https://siamtak.b-cdn.net/hero-product/PIT-04.jpg?width=600&quality=80&format=webp,data\granite_images\pit-04.jpg
https://www.siamtak.com/products/oyc-6301,OYC-6301,กระเบื้องผิวเงา OYC-6301,279,https://siamtak.b-cdn.net/hero-product/OYC-6301.jpg?width=600&quality=80&format=webp,data\granite_images\oyc-6301.jpg
https://www.siamtak.com/products/oyf-d854,OYF-D854,กระเบื้องผิวเงา OYF-D854,329,https://siamtak.b-cdn.net/hero-product/OYF-D854.jpg?width=600&quality=80&format=webp,data\granite_images\oyf-d854.jpg
https://www.siamtak.com/products/oy-6128-36,OY-6128-36,กระเบื้องผิวเงา OY-6128-36,299,https://siamtak.b-cdn.net/hero-product/OY-6128-36.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6128-36.jpg
https://www.siamtak.com/products/oyf-6660-81,OYF-6660-81,กระเบื้องผิวด้าน OYF-6660-81,279,https://siamtak.b-cdn.net/hero-product/OYF-6660-81.jpg?width=600&quality=80&format=webp,data\granite_images\oyf-6660-81.jpg
https://www.siamtak.com/products/oy-6128-25,OY-6128-25,กระเบื้องผิวเงา OY-6128-25,339,https://siamtak.b-cdn.net/hero-product/OY-6128-25.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6128-25.jpg
https://www.siamtak.com/products/oy-6129-91,OY-6129-91,กระเบื้องผิวเงา OY-6129-91,299,https://siamtak.b-cdn.net/hero-product/OY-6129-91.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6129-91.jpg
https://www.siamtak.com/products/oy-6128-55,OY-6128-55,กระเบื้องผิวเงา OY-6128-55,339,https://siamtak.b-cdn.net/hero-product/OY-6128-55.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6128-55.jpg
https://www.siamtak.com/products/oy-6127-06,OY-6127-06,กระเบื้องผิวเงา OY-6127-06,349,https://siamtak.b-cdn.net/hero-product/OY-6127-06.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6127-06.jpg
https://www.siamtak.com/products/oy-6800-4-2,OY-6800-4,กระเบื้องผิวด้าน OY-6800-4,299,https://siamtak.b-cdn.net/hero-product/OY-6800-4.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6800-4-2.jpg
https://www.siamtak.com/products/oy-6126-84,OY-6126-84,กระเบื้องผิวเงา OY-6126-84,319,https://siamtak.b-cdn.net/hero-product/OY-6126-84.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6126-84.jpg
https://www.siamtak.com/products/oy-6126-37,OY-6126-37,กระเบื้องผิวเงา OY-6126-37,339,https://siamtak.b-cdn.net/hero-product/OY-6126-37.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6126-37.jpg
https://www.siamtak.com/products/oy-6126-07,OY-6126-07,กระเบื้องผิวเงา OY-6126-07,339,https://siamtak.b-cdn.net/hero-product/OY-6126-07.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6126-07.jpg
https://www.siamtak.com/products/classic-white,CLASSICAL WHITE,หินแกรนิต คลาสสิกคอลไวท์ (Classical White Granite) เติมเต็มพื้นที่ของคุณด้วยความบริสุทธิ์และเรียบง่ายของหินแกรนิต Classical White ลวดลายเส้นสายสีเทาอ่อนพาดผ่านพื้นผิวสีขาวนวลอย่างเป็นธรรมชาติ มอบความรู้สึกสะอาดตาและทันสมัย สามารถเข้าได้กับทุกสไตล์การออกแบบ ไม่ว่าจะเป็นเคาน์เตอร์ครัวหรือผนังตกแต่ง,1790,https://siamtak.b-cdn.net/hero-product/654b3e125d72664d765babd0_CS1.jpg?width=600&quality=80&format=webp,data\granite_images\classic-white.jpg
https://www.siamtak.com/products/oy-6126-01,OY-6126-01,กระเบื้องผิวเงา OY-6126-01,299,https://siamtak.b-cdn.net/hero-product/OY-6126-01.jpg?width=600&quality=80&format=webp,data\granite_images\oy-6126-01.jpg
